track_id xmin ymin xmax ymax frame_number lost occluded generated label
0 627 111 683 243 0 0 0 0 "PERSON"
0 621 111 677 245 1 0 0 1 "PERSON"
0 615 111 671 247 2 0 0 1 "PERSON"
0 609 111 666 249 3 0 0 1 "PERSON"
0 603 111 660 251 4 0 0 1 "PERSON"
0 597 111 655 253 5 0 0 1 "PERSON"
0 592 111 649 255 6 0 0 1 "PERSON"
0 586 111 644 257 7 0 0 1 "PERSON"
0 580 111 638 259 8 0 0 1 "PERSON"
0 574 111 633 262 9 0 0 1 "PERSON"
0 568 111 627 264 10 0 0 1 "PERSON"
0 562 111 622 266 11 0 0 1 "PERSON"
0 557 111 616 268 12 0 0 1 "PERSON"
0 551 111 611 270 13 0 0 1 "PERSON"
0 545 111 605 272 14 0 0 1 "PERSON"
0 539 111 600 274 15 0 0 1 "PERSON"
0 533 111 594 276 16 0 0 1 "PERSON"
0 528 112 589 279 17 0 0 0 "PERSON"
0 524 112 585 279 18 0 0 1 "PERSON"
0 521 112 582 279 19 0 0 1 "PERSON"
0 518 112 579 279 20 0 0 1 "PERSON"
0 515 113 576 280 21 0 0 0 "PERSON"
0 513 112 574 281 22 0 0 1 "PERSON"
0 511 112 572 282 23 0 0 1 "PERSON"
0 510 111 571 283 24 0 0 1 "PERSON"
0 508 111 569 285 25 0 0 1 "PERSON"
0 507 110 568 286 26 0 0 1 "PERSON"
0 505 110 566 287 27 0 0 1 "PERSON"
0 503 109 564 289 28 0 0 1 "PERSON"
0 502 109 563 290 29 0 0 1 "PERSON"
0 500 108 561 291 30 0 0 1 "PERSON"
0 499 108 560 293 31 0 0 0 "PERSON"
0 495 108 556 293 32 0 0 1 "PERSON"
0 492 108 553 293 33 0 0 1 "PERSON"
0 489 108 550 293 34 0 0 1 "PERSON"
0 486 108 547 293 35 0 0 1 "PERSON"
0 483 108 544 293 36 0 0 1 "PERSON"
0 480 108 541 293 37 0 0 1 "PERSON"
0 476 109 537 294 38 0 0 1 "PERSON"
0 473 109 534 294 39 0 0 1 "PERSON"
0 470 109 531 294 40 0 0 1 "PERSON"
0 467 109 528 294 41 0 0 1 "PERSON"
0 464 109 525 294 42 0 0 1 "PERSON"
0 461 109 522 294 43 0 0 1 "PERSON"
0 458 110 519 295 44 0 0 0 "PERSON"
0 457 109 518 295 45 0 0 1 "PERSON"
0 457 109 518 295 46 0 0 1 "PERSON"
0 457 109 518 295 47 0 0 1 "PERSON"
0 457 109 518 295 48 0 0 1 "PERSON"
0 457 109 518 295 49 0 0 1 "PERSON"
0 457 109 518 295 50 0 0 1 "PERSON"
0 457 109 518 295 51 0 0 1 "PERSON"
0 457 109 518 295 52 0 0 1 "PERSON"
0 456 109 517 295 53 0 0 1 "PERSON"
0 456 109 517 295 54 0 0 1 "PERSON"
0 456 109 517 295 55 0 0 1 "PERSON"
0 456 109 517 295 56 0 0 1 "PERSON"
0 456 109 517 295 57 0 0 1 "PERSON"
0 456 109 517 295 58 0 0 1 "PERSON"
0 456 109 517 295 59 0 0 1 "PERSON"
0 456 109 517 295 60 0 0 1 "PERSON"
0 455 108 516 295 61 0 0 1 "PERSON"
0 455 108 516 295 62 0 0 1 "PERSON"
0 455 108 516 295 63 0 0 1 "PERSON"
0 455 108 516 295 64 0 0 1 "PERSON"
0 455 108 516 295 65 0 0 1 "PERSON"
0 455 108 516 295 66 0 0 1 "PERSON"
0 455 108 516 295 67 0 0 1 "PERSON"
0 455 108 516 295 68 0 0 1 "PERSON"
